"ID","ID","NAME","START_AT","END_AT","ARTWORKS_COUNT","PARTNERS_COUNT","ARTISTS_COUNT","PARTNER_SHOWS_COUNT","PUBLISHED","STATUS"
"a0TM000000AUlx1MAD","55b132e172616970c70000aa","ARCOmadrid 2016","2016-02-24 14:30:00.0","2016-02-28 14:30:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlx2MAD","55b24985726169316f000440","SCOPE Miami Beach 2015","2015-12-01 14:18:00.0","2015-12-06 14:18:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlx3MAD","55d5f33372616926db0002e6","ARTBO 2015","2015-10-01 12:00:00.0","2015-10-04 18:00:00.0","136","12","35","12","true","Item Updated"
"a0TM000000AUlx4MAD","53d26eeb7261692cc19c0000","CHART | ART FAIR 2014","2014-08-29 11:00:00.0","2014-08-31 21:00:00.0","254","24","76","24","true","Item Updated"
"a0TM000000AUlx5MAD","53aaa0eb726169327b800300","ArtRio 2014","2014-09-10 17:00:00.0","2014-09-14 00:00:00.0","1248","86","443","90","true","Item Updated"
"a0TM000000AUlx6MAD","5406c3dc72616915c3011600","Art Taipei 2014","2014-10-31 07:30:00.0","2014-11-03 07:30:00.0","159","22","71","22","true","Item Updated"
"a0TM000000AUlx7MAD","53e7efd77261692d69f00100","Cosmoscow 2014","2014-09-19 11:00:00.0","2014-09-21 20:00:00.0","280","24","56","24","true","Item Updated"
"a0TM000000AUlx8MAD","53bc20c37261692d55540100","ArtInternational 2014","2014-09-26 12:00:00.0","2014-09-28 18:00:00.0","547","60","219","60","true","Item Updated"
"a0TM000000AUlx9MAD","541372b17261690e3a1e0f00","CONTEXT Art Miami 2014","2014-12-02 22:24:00.0","2014-12-07 22:24:00.0","137","11","63","11","true","Item Updated"
"a0TM000000AUlxAMAT","53adaffa72616922f4430000","Moving Image Istanbul","2014-09-25 17:52:00.0","2014-09-28 17:52:00.0","40","23","27","23","true","Item Updated"
"a0TM000000AUlxBMAT","542189b37261692d6d030100","PAD London 2014","2014-10-15 14:54:00.0","2014-10-19 14:54:00.0","131","8","69","8","false","Item Updated"
"a0TM000000AUlxCMAT","52333e078b3b819ea300074e","Frieze London","2013-10-16 04:00:00.0","2013-10-19 04:00:00.0","443","58","194","59","true","Item Updated"
"a0TM000000AUlxDMAT","542e52837261692f5a151600","Art Fair Tokyo 2015","2015-03-20 07:35:00.0","2015-03-22 07:35:00.0","181","19","59","19","false","Item Updated"
"a0TM000000AUlxEMAT","5408d6d772616964feca0200","Frieze London 2014","2014-10-15 12:00:00.0","2014-10-18 19:00:00.0","847","86","347","86","true","Item Updated"
"a0TM000000AUlxFMAT","5408d75372616919cc6f0200","Frieze Masters 2014","2014-10-15 12:00:00.0","2014-10-19 18:00:00.0","375","44","107","44","true","Item Updated"
"a0TM000000AUlxGMAT","543d371a7261692ea8ec0400","Feature: Contemporary Art Fair 2014","2014-10-23 14:44:00.0","2014-10-26 14:44:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlxHMAT","5448e9ca7261692dda460000","Yia Art Fair","2014-10-23 11:42:00.0","2014-10-26 11:42:00.0","11","2","3","2","true","Item Updated"
